Name,Retention(%over2yrs),Year
ipsn,27.692307692307693,2006
ipsn,24.0,2007
ipsn,31.147540983606557,2008
ipsn,39.130434782608695,2009
ipsn,44.0,2010
ipsn,35.18518518518518,2011
ipsn,26.923076923076923,2012
ipsn,23.076923076923077,2013
ipsn,39.130434782608695,2014
ipsn,38.59649122807017,2015
ipsn,29.78723404255319,2016
ipsn,59.183673469387756,2017
ipsn,7.142857142857142,2018
ipsn,10.256410256410255,2019
mobihoc,49.23076923076923,2006
mobihoc,42.5287356321839,2007
mobihoc,27.397260273972602,2008
mobihoc,30.0,2009
mobihoc,18.91891891891892,2010
mobihoc,20.967741935483872,2011
mobihoc,43.07692307692308,2012
mobihoc,39.285714285714285,2013
mobihoc,28.04878048780488,2014
mobihoc,43.01075268817204,2015
mobihoc,53.57142857142857,2016
mobihoc,73.0,2017
mobihoc,74.52830188679245,2018
mobihoc,68.59504132231406,2019
mobicom,64.58333333333334,2006
mobicom,48.333333333333336,2007
mobicom,32.78688524590164,2008
mobicom,33.33333333333333,2009
mobicom,43.75,2010
mobicom,16.666666666666664,2011
mobicom,47.91666666666667,2012
mobicom,32.8125,2013
mobicom,33.75,2014
mobicom,38.46153846153847,2015
mobicom,55.81395348837209,2016
mobicom,61.627906976744185,2017
mobicom,43.925233644859816,2018
mobicom,47.45762711864407,2019
sensys,32.5,2006
sensys,44.680851063829785,2007
sensys,55.55555555555556,2008
sensys,39.130434782608695,2009
sensys,30.952380952380953,2010
sensys,42.22222222222222,2011
sensys,47.72727272727273,2012
sensys,36.95652173913043,2013
sensys,42.10526315789473,2014
sensys,36.53846153846153,2015
sensys,44.73684210526316,2016
sensys,41.81818181818181,2017
sensys,40.57971014492754,2018
sensys,63.934426229508205,2019
sigcomm,38.59649122807017,2006
sigcomm,26.96629213483146,2007
sigcomm,51.61290322580645,2008
sigcomm,42.68292682926829,2009
sigcomm,30.555555555555557,2010
sigcomm,32.8125,2011
sigcomm,35.294117647058826,2012
sigcomm,60.0,2013
sigcomm,31.48148148148148,2014
sigcomm,37.254901960784316,2015
sigcomm,55.35714285714286,2016
sigcomm,32.55813953488372,2017
sigcomm,43.90243902439025,2018
sigcomm,29.7029702970297,2019
